case,aknowledge,sknowledge,ecdiversity,meltingpot,selfexpress,reginnovation
Smalandmedoearna,0.6000000000000001,0.8,0.8,0.6000000000000001,0.6000000000000001,0
Sydsverige,0.8,0.8,0.8,0.6000000000000001,0.6000000000000001,0
Vaestsverige,0.8,0.4,0.8,0.6000000000000001,0.6000000000000001,1
NorraMellansverige,0.6000000000000001,0.2,0.8,0.6000000000000001,0.6000000000000001,0
MellerstaNorrland,0.6000000000000001,0.6000000000000001,1.0,0.2,0.6000000000000001,0
oevreNorrland,0.6000000000000001,0.6000000000000001,1.0,0.6000000000000001,0.6000000000000001,0
TeesValleyandDurham,0.2,0.2,0.8,0.0,0.2,1
NorthumberlandandTyneandWear,0.4,0.2,0.8,0.2,0.2,0
Cumbria,0.4,0.4,0.4,0.0,0.4,1
Cheshire,0.6000000000000001,0.4,0.6000000000000001,0.0,0.6000000000000001,1
GreaterManchester,0.2,0.4,0.8,0.6000000000000001,0.4,1
Lancashire,0.2,0.4,0.8,0.2,0.4,1
Merseyside,0.4,0.4,0.8,0.2,0.4,1
EastYorkshireandNorthernLincolnshire,0.2,0.2,0.6000000000000001,0.2,0.2,1
NorthYorkshire,0.6000000000000001,0.2,0.8,0.2,0.6000000000000001,1
SouthYorkshire,0.2,0.2,0.8,0.6000000000000001,0.4,1
WestYorkshire,0.4,0.2,0.8,0.6000000000000001,0.4,1
DerbyshireandNottinghamshire,0.4,0.4,0.8,0.6000000000000001,0.4,1
LeicestershireRutlandandNorthamptonshire,0.4,0.4,0.6000000000000001,0.6000000000000001,0.4,1
Lincolnshire,0.4,0.4,0.6000000000000001,0.6000000000000001,0.4,1
HerefordshireWorcestershireandWarwickshire,0.6000000000000001,0.2,0.8,0.6000000000000001,0.4,1
ShropshireandStaffordshire,0.2,0.2,0.8,0.2,0.4,1
WestMidlands,0.2,0.2,0.8,0.6000000000000001,0.2,1
EastAnglia,0.6000000000000001,0.6000000000000001,0.8,0.6000000000000001,0.4,1
BedfordshireandHertfordshire,0.6000000000000001,0.6000000000000001,0.8,0.6000000000000001,0.6000000000000001,1
Essex,0.6000000000000001,0.6000000000000001,0.8,0.2,0.4,1
InnerLondon,0.6000000000000001,0.2,0.8,0.8,0.2,1
OuterLondon,0.2,0.2,0.8,0.8,0.4,1
BerkshireBuckinghamshireandOxfordshire,0.6000000000000001,0.6000000000000001,0.8,0.6000000000000001,0.4,1
SurreyEastandWestSussex,0.6000000000000001,0.6000000000000001,0.8,0.6000000000000001,0.6000000000000001,1
HampshireandIsleofWight,0.6000000000000001,0.6000000000000001,0.8,0.2,0.6000000000000001,1
Kent,0.4,0.6000000000000001,0.8,0.6000000000000001,0.4,1
GloucestershireWiltshireandBristol/Batharea,0.6000000000000001,0.4,0.8,0.6000000000000001,0.4,1
DorsetandSomerset,0.6000000000000001,0.4,0.8,0.6000000000000001,0.6000000000000001,1
CornwallandIslesofScilly,0.2,0.4,0.8,0.0,0.4,1
Devon,0.2,0.4,0.8,0.0,0.4,1
WestWalesandTheValleys,0.2,0.2,0.8,0.0,0.2,1
EastWales,0.6000000000000001,0.2,0.0,0.2,0.2,1
EasternScotland,0.6000000000000001,0.2,0.8,0.6000000000000001,0.4,0
SouthWesternScotland,0.2,0.2,0.8,0.4,0.4,0
HighlandsandIslands,0.2,0.2,0.8,0.2,0.2,0
NorthernIreland,0.2,0.2,0.8,0.6000000000000001,0.2,0
